#1
double PVProduction( 35041, 2 ) # Time [s]; PVout [kW]
1332900;7.838
1333800;11.34
1334700;7.38
1335600;7.035
1336500;5.648
1337400;5.955
1338300;6.105
1339200;5.183
1340100;5.22
1341000;8.123
1341900;6.69
1342800;5.28
1343700;4.725
1344600;3.9
1345500;4.523
1346400;4.298
1347300;6.435
1348200;5.678
1349100;5.813
1350000;6.975
1350900;4.845
1351800;3.848
1352700;3.285
1353600;2.13
1354500;1.485
1355400;0.705
1356300;0.053
1357200;0
1358100;0
1359000;0
1359900;0
1360800;0
1361700;0
1362600;0
1363500;0
1364400;0
1365300;0
1366200;0
1367100;0
1368000;0
1368900;0
1369800;0
1370700;0
1371600;0
1372500;0
1373400;0
1374300;0
1375200;0
1376100;0
1377000;0
1377900;0
1378800;0
1379700;0
1380600;0
1381500;0
1382400;0
1383300;0
1384200;0
1385100;0
1386000;0
1386900;0
1387800;0
1388700;0
1389600;0
1390500;0
1391400;0
1392300;0
1393200;0
1394100;0
1395000;0
1395900;0
1396800;0
1397700;0
1398600;0
1399500;0
1400400;0
1401300;0
1402200;0
1403100;0
1404000;0
1404900;0
1405800;0
1406700;0
1407600;0
1408500;0
1409400;0
1410300;0
1411200;0
1412100;0
1413000;0
1413900;0.075
1414800;0.255
1415700;0.3
1416600;0.338
1417500;0.33
1418400;0.315
1419300;0.36
1420200;0.36
1421100;0.63
1422000;1.05
1422900;1.403
1423800;1.17
1424700;1.343
1425600;1.23
1426500;1.298
1427400;1.298
1428300;1.5
1429200;1.163
1430100;1.118
1431000;1.05
1431900;0.915
1432800;0.87
1433700;0.93
1434600;0.893
1435500;1.193
1436400;0.758
1437300;0.72
1438200;0.818
1439100;0.6
1440000;0.495
1440900;0.21
1441800;0
1442700;0
1443600;0
1444500;0
1445400;0
1446300;0
1447200;0
1448100;0
1449000;0
1449900;0
1450800;0
1451700;0
1452600;0
1453500;0
1454400;0
1455300;0
1456200;0
1457100;0
1458000;0
1458900;0
1459800;0
1460700;0
1461600;0
1462500;0
1463400;0
1464300;0
1465200;0
1466100;0
1467000;0
1467900;0
1468800;0
1469700;0
1470600;0
1471500;0
1472400;0
1473300;0
1474200;0
1475100;0
1476000;0
1476900;0
1477800;0
1478700;0
1479600;0
1480500;0
1481400;0
1482300;0
1483200;0
1484100;0
1485000;0
1485900;0
1486800;0
1487700;0
1488600;0
1489500;0
1490400;0
1491300;0
1492200;0
1493100;0
1494000;0
1494900;0
1495800;0
1496700;0
1497600;0
1498500;0
1499400;0.068
1500300;0.225
1501200;0.173
1502100;0.285
1503000;0.735
1503900;0.705
1504800;0.923
1505700;1.14
1506600;2.318
1507500;3.758
1508400;2.723
1509300;2.82
1510200;4.373
1511100;6.705
1512000;8.775
1512900;11.948
